de,zh,example,image,hint
wie lange,多久，多长时间,Wie lange dauert der Film?,,疑问短语
lange,很久；长时间地,Ich habe lange gewartet.,,副词/形容词
der Zug,火车,Der Zug kommt pünktlich.,,"名词, 阳性; 复数: Züge"
morgens,在早晨,Morgens trinke ich Tee.,,时间副词
mittags,在中午,Mittags essen wir in der Mensa.,,时间副词
nachts,在夜里,Nachts ist es ruhig.,,时间副词
die Fahrt,行驶；旅程,Die Fahrt dauert zwei Stunden.,,"名词, 阴性; 复数: Fahrten"
die Dreiviertelstunde,三刻钟（45分钟）,Die Pause dauert eine Dreiviertelstunde.,,"名词, 阴性"
die Fahrkarte,车票,Ich kaufe eine Fahrkarte nach Nürnberg.,,"名词, 阴性; 复数: Fahrkarten"
der Fahrkartenschalter,售票窗口,Die Schlange am Fahrkartenschalter ist lang.,,"名词, 阳性"
von ... nach ...,从……到……,Der Zug fährt von Karlsruhe nach Salzburg.,,介词短语
die Minute,分钟,In fünf Minuten beginnt der Unterricht.,,"名词, 阴性; 复数: Minuten"
die Viertelstunde,一刻钟（15分钟）,Ich brauche eine Viertelstunde.,,"名词, 阴性"
eineinhalb / anderthalb,一个半,Der Film dauert anderthalb Stunden.,,数词
das Fernsehen,电视；电视业,Abends schaue ich selten Fernsehen.,,"名词, 中性"
der Film,电影,Welcher Film läuft heute?,,"名词, 阳性; 复数: Filme"
anfangen (+mit),开始,Wir fangen mit Text 3 an.,,可分动词 +mit +D
kurz,短的；简短的,Wir machen eine kurze Pause.,,形容词/副词
das Ende,末尾；结束,Am Ende der Stunde schreiben wir.,,"名词, 中性; 复数: Enden"
zu Ende sein,结束,Die Stunde ist zu Ende.,,固定表达
der Schultag,在学校的一天,Ein Schultag ist oft lang.,,"名词, 阳性; 复数: Schultage"
Punkt sieben,七点整,Er steht Punkt sieben auf.,,时间表达
klingeln,发出铃声,Der Wecker klingelt laut.,,动词
meinen (+A),认为；觉得；说,"Ich meine, das ist richtig.",,动词 +Akk.
schlafen,睡觉,Er schläft bis neun.,,动词
gegen (+A),将近；大约（时间）,Gegen acht fahre ich los.,,介词 +Akk.
auf/stehen,起床；站起,Ich stehe jeden Tag früh auf.,,可分动词
die Unterrichtsstunde,课时；课堂,Wir haben heute drei Unterrichtsstunden.,,"名词, 阴性; 复数: Unterrichtsstunden"
meistens,大多，通常,Ich esse mittags meistens in der Mensa.,,副词
lang,长的；长久的,Der Tag ist lang.,,形容词/副词
nachmittags,在下午,Nachmittags spiele ich Sport.,,时间副词
selten,很少，难得,Ich gehe selten ins Kino.,,副词/形容词
zu Hause,在家,Am Wochenende bin ich zu Hause.,,固定表达
die Aufgabe,任务；作业,Ich habe heute viele Aufgaben.,,"名词, 阴性; 复数: Aufgaben"
die Hausaufgabe,家庭作业,Er macht jeden Abend Hausaufgaben.,,"名词, 阴性; 复数: Hausaufgaben"
weg/gehen,离开；走开,Ich gehe jetzt weg.,,可分动词
spielen (+A),玩；演奏；比赛,Wir spielen abends Tischtennis.,,动词 +Akk.
abends,在晚上,Abends lese ich Bücher.,,时间副词
oder,或者；还是,Trinkst du Tee oder Kaffee?,,连词
fern/sehen,看电视,Meine Eltern sehen selten fern.,,可分动词
manchmal,有时,Manchmal gehe ich joggen.,,副词
das Bett,床,Ich gehe früh ins Bett.,,"名词, 中性; 复数: Betten"
ins Bett gehen,上床睡觉,Ich gehe um elf ins Bett.,,固定表达
der Montag,星期一,Der Montag ist immer stressig.,,"名词, 阳性; 复数: Montage"
der Dienstag,星期二,Dienstag habe ich Sport.,,"名词, 阳性; 复数: Dienstage"
der Mittwoch,星期三,Mittwoch ist der Deutschkurs.,,"名词, 阳性; 复数: Mittwoche"
der Donnerstag,星期四,Donnerstag arbeite ich im Labor.,,"名词, 阳性; 复数: Donnerstage"
der Freitag,星期五,Freitag gehen wir ins Kino.,,"名词, 阳性; 复数: Freitage"
der Sonnabend/Samstag,星期六,Samstag spiele ich Fußball.,,"名词, 阳性"
der Sonntag,星期日,Sonntag besuche ich meine Eltern.,,"名词, 阳性; 复数: Sonntage"
vor/haben (+A),打算；计划,Ich habe morgen viel vor.,,可分动词 +Akk.
vormittags,在上午,Vormittags lerne ich.,,时间副词
die Uhrzeit,钟点时间；时刻,Wie spät ist es? Welche Uhrzeit?,,"名词, 阴性"
der Sport,体育；运动,Ich mache dreimal pro Woche Sport.,,"名词, 阳性"
das Mittagessen,午饭,Das Mittagessen gibt es um zwölf.,,"名词, 中性"
die Nacht,夜里；夜晚,In der Nacht ist es ruhig.,,"名词, 阴性; 复数: Nächte"
das Tischtennis,乒乓球,Wir spielen Tischtennis in der Halle.,,"名词, 中性（不可数）"
sehen (+A),看；看到,Ich sehe den Film heute Abend.,,动词 +Akk.
der Monat,月份,Ein Jahr hat zwölf Monate.,,"名词, 阳性; 复数: Monate"
der Januar,一月,Im Januar ist es kalt.,,"名词, 阳性"
der Februar,二月,Der Februar hat 28 Tage.,,"名词, 阳性"
der März,三月,Im März beginnt der Frühling.,,"名词, 阳性"
der April,四月,"April macht, was er will.",,"名词, 阳性"
der Mai,五月,Im Mai blühen viele Blumen.,,"名词, 阳性"
der Juni,六月,Im Juni haben wir Prüfungen.,,"名词, 阳性"
der Juli,七月,Im Juli fahre ich nach Hause.,,"名词, 阳性"
der August,八月,Im August mache ich Urlaub.,,"名词, 阳性"
der September,九月,September beginnt das neue Semester.,,"名词, 阳性"
der Oktober,十月,Im Oktober ist es windig.,,"名词, 阳性"
der November,十一月,Im November regnet es oft.,,"名词, 阳性"
der Dezember,十二月,Im Dezember feiern wir Weihnachten.,,"名词, 阳性"
der Frühling,春天,Der Frühling ist meine Lieblingsjahreszeit.,,"名词, 阳性; 复数: Frühlinge"
der Sommer,夏天,Der Sommer ist heiß.,,"名词, 阳性"
der Herbst,秋天,Der Herbst ist bunt.,,"名词, 阳性; 复数: Herbste"
der Winter,冬天,Der Winter ist kalt.,,"名词, 阳性"
Was ist da los?,那里发生了什么？,Was ist da los? So viele Leute!,,固定表达
interessant,有趣的,Der Vortrag ist interessant.,,形容词
mit/fahren,一起乘车去,Fährst du mit zur Uni?,,可分动词
der Chinese,中国人（男）,Er ist Chinese und studiert in Deutschland.,,"名词, 阳性; 弱变化: des Chinesen"
die Klinik,医院；诊疗所,Sie arbeitet in einer Klinik.,,"名词, 阴性; 复数: Kliniken"
das Fußballspiel,足球赛,Am Samstag ist ein Fußballspiel.,,"名词, 中性; 复数: Fußballspiele"
Karlsruhe,卡尔斯鲁厄,Er wohnt in Karlsruhe.,,Stadt
Salzburg,萨尔茨堡,Salzburg ist sehr schön.,,Stadt
Nürnberg,纽伦堡,Der Zug nach Nürnberg ist pünktlich.,,Stadt
Hongkong,香港,Viele Touristen besuchen Hongkong.,,Stadt/Region
