de,zh,example,image,hint
die Bedienung,服务员；服务,Die Bedienung bringt die Getränke.,,"名词, 阴性"
die Bohne,豆,Ich koche Bohnen mit Fleisch.,,"名词, 阴性"
der Eintopf,一锅菜，杂烩,Im Winter esse ich gern Eintopf.,,"名词, 阳性"
der Bohneneintopf,杂豆一锅煮,Heute gibt es Bohneneintopf.,,"名词, 阳性"
der Fisch,鱼,Der Fisch ist frisch gefangen.,,"名词, 阳性"
das Filet,里脊；无骨切片,Ich nehme ein Filet vom Rind.,,"名词, 中性"
das Fischfilet,鱼片,Das Fischfilet ist knusprig.,,"名词, 中性"
die Suppe,汤,"Eine Suppe vorweg, bitte.",,"名词, 阴性"
die Tomate,西红柿,Tomaten sind heute im Angebot.,,"名词, 阴性"
das Schwein,猪；猪肉,Sie isst kein Schwein.,,"名词, 中性"
der Braten,烤肉,Der Braten braucht noch zehn Minuten.,,"名词, 阳性"
der Schweinebraten,烤猪肉,Schweinebraten ist sehr beliebt.,,"名词, 阳性"
der Salat,色拉,Zum Hauptgericht esse ich Salat.,,"名词, 阳性"
das Gericht,菜肴；一道菜,Welches Gericht ist vegetarisch?,,"名词, 中性"
der/die Nächste,下一位,Der Nächste bitte!,,名词化形容词
frei,空的；自由的,Ist der Platz am Fenster frei?,,形容词
Guten Appetit! / gleichfalls,请用餐！/同乐,"–Guten Appetit! –Danke, gleichfalls!",,固定寒暄
ausgezeichnet,极好的,Die Suppe schmeckt ausgezeichnet.,,形容词
ein/laden (+A),邀请,Ich lade dich zum Essen ein.,,可分动词
süß / sauer,甜 / 酸,Die Soße ist süß‑sauer.,,形容词
der Apfelkuchen,苹果蛋糕,Zum Kaffee esse ich Apfelkuchen.,,"名词, 阳性"
die Vorspeise / das Hauptgericht / die Nachspeise,前菜 / 主菜 / 甜点,"Als Vorspeise Suppe, dann Hauptgericht, zum Schluss Nachspeise.",,菜单结构
das Restaurant,餐馆,Wir treffen uns im Restaurant.,,"名词, 中性"
der Gast,客人,Viele Gäste warten auf die Rechnung.,,"名词, 阳性"
der Ober / die Kellnerin,男服务员 / 女服务员,Der Ober bringt die Speisekarte.,,名词
die Speisekarte,菜单,Können wir die Speisekarte sehen?,,"名词, 阴性"
empfehlen,推荐,Was empfehlen Sie heute?,,动词
der Rotwein / der Weißwein,红葡萄酒 / 白葡萄酒,"Zum Fisch passt Weißwein, zum Steak Rotwein.",,"名词, 阳性"
Zum Wohl! / Prost!,干杯！,Zum Wohl! Auf einen schönen Abend!,,祝酒语
bringen / sofort,拿来；立刻,Bringen Sie uns bitte sofort zwei Wasser.,,动词/副词
der Eisbecher,（一杯）冰激凌,Ich nehme einen Eisbecher mit Vanille.,,"名词, 阳性"
die Rechnung / Stimmt so.,账单 / 不用找,Hier sind 20 Euro – stimmt so.,,结账用语
das Trinkgeld,小费,Wir geben zehn Prozent Trinkgeld.,,"名词, 中性"
die Bar / der Becher,酒吧 / 无柄杯,Wir gehen in die Bar und trinken einen Becher Bier.,,名词
die Beijing‑Ente / die Jiaozi (Pl.),北京烤鸭 / 饺子,"Als Vorspeise nehmen wir Jiaozi, später Beijing‑Ente.",,菜名
Schweinefleisch süß‑sauer,糖醋里脊,Schweinefleisch süß‑sauer ist hier sehr bekannt.,,菜名
rot / weiß / schwarz,红 / 白 / 黑,"Der Wein ist rot, das Tischtuch ist weiß, die Jacke ist schwarz.",,颜色词
der/die Deutsche (wie Adj.),德国人,Viele Deutsche essen abends Brotzeit.,,名词化形容词
die Pizza,披萨,Wir teilen uns eine Pizza.,,"名词, 阴性"
der Termin,日期，预约,Ich habe um vier einen Termin.,,"名词, 阳性"
bestellen (+A),订购，点菜,Er bestellt die Suppe und ein Steak.,,动词 +Akk.
schwimmen,游泳,Nach dem Essen gehen wir schwimmen.,,动词
der Hamburger,汉堡,Zum Mittag esse ich einen Hamburger.,,"名词, 阳性"
ein bisschen,一点儿,Ich nehme nur ein bisschen Zucker.,,副词
ab/holen,接，取,Ich hole die Bestellung ab.,,可分动词
zurück/kommen,回来,Er kommt gleich zurück.,,可分动词
los/gehen,开始，动身,Wir gehen jetzt los.,,可分动词
ab/fahren,开出，发车,Der Zug fährt um acht ab.,,可分动词
mit/bringen (+A +D),带来，赠送,Ich bringe dir Brot mit.,,可分动词
verkaufen (+A),卖,Die Bäckerei verkauft frisches Brot.,,动词 +Akk.
auf/machen,打开；开门,Die Bar macht um elf auf.,,可分动词
vor/lesen (+A),朗读,Die Kellnerin liest die Tageskarte vor.,,可分动词
