de,zh,example,image,hint
viel,许多,Es gibt hier viel Arbeit.,,不定量词
heute,今天,Heute ist das Wetter schön.,,副词
der Nachmittag,下午,Am Nachmittag habe ich Sport.,,"名词, 阳性; 复数: Nachmittage"
die Geschwister (Pl.),兄弟姐妹,Sie hat keine Geschwister.,,"名词, 复数词"
der Onkel,叔叔；舅舅；伯伯；姑父,Mein Onkel wohnt in Dresden.,,"名词, 阳性; 复数: Onkel"
die Tante,姑妈；姨妈；舅妈；伯母,Meine Tante kocht sehr gut.,,"名词, 阴性; 复数: Tanten"
die Uni (Universität),大学（口语）,Ich treffe meine Freunde an der Uni.,,"名词, 阴性; 复数: Unis"
gehen (+Dir.),走；去（向某地）,Wir gehen ins Kino.,,动词 + 方向
der Moment,片刻；一会儿,Einen Moment bitte!,,"名词, 阳性; 复数: Momente"
Einen Moment bitte!,请稍候！,"Einen Moment bitte, ich komme gleich.",,常用表达
holen (+A),取；拿,Ich hole schnell die Kanne.,,动词 + Akkusativ
warum,为什么,Warum kommst du so spät?,,疑问词
die Großeltern (Pl.),祖父母；外祖父母,Am Wochenende besuchen wir die Großeltern.,,"名词, 复数词"
der Großvater,祖父；外祖父,Mein Großvater liest gern Zeitung.,,"名词, 阳性; 复数: Großväter"
die Großmutter,祖母；外祖母,Meine Großmutter trinkt Tee.,,"名词, 阴性; 复数: Großmütter"
oft,经常,Ich gehe oft spazieren.,,副词
die Hausarbeit,家务；家庭作业,Am Samstag mache ich Hausarbeit.,,"名词, 阴性; 复数: Hausarbeiten"
die Handtasche,手袋；手提包,Die Handtasche ist neu.,,"名词, 阴性; 复数: Handtaschen"
deutsch,德国语的；德语的,Wir sprechen deutsch im Kurs.,,形容词/名词化
in +Dat./Akk.,在……里；到……里去,Ich wohne in Berlin und gehe in die Stadt.,,介词 +Dativ/Akkusativ
beide,两个；两者,Beide Studenten kommen aus China.,,不定代词/数词
Dresden,德累斯顿,Dresden liegt an der Elbe.,,Stadt
