de,zh,example,image,hint
suchen (+A),寻找,Ich suche ein warmes Kleid.,,动词 +Akk.
zeigen (+Dat+Akk),给……看；展示,Können Sie mir die Quittung zeigen?,,动词 +Dativ +Akk.
helfen (+Dat.),帮助,Die Verkäuferin hilft mir gern.,,动词 +Dativ
der Preis,价格,Der Preis ist zu hoch.,,"名词, 阳性; 复数: Preise"
billig / günstig,便宜 / 合算,Das ist heute sehr günstig.,,形容词
teuer,贵,Die Tasche ist sehr teuer.,,形容词
die Reduzierung / der Rabatt,降价 / 折扣,Gibt es heute Rabatt?,,"名词, 阴性/阳性"
der Kassenbon / die Quittung,小票 / 发票,Bewahren Sie den Kassenbon bitte auf.,,"名词, 阳性"
die Garantie,保修；保证,Das Gerät hat zwei Jahre Garantie.,,"名词, 阴性; 复数: Garantien"
bar zahlen,现金支付,Ich zahle bar.,,固定搭配
mit Karte zahlen,刷卡支付,Ich zahle mit Karte.,,固定搭配
das Kaufhaus,百货商店,Im Kaufhaus gibt es alles.,,"名词, 中性; 复数: Kaufhäuser"
das Geschäft / der Laden,商店,Das Geschäft macht um 9 Uhr auf.,,"名词, 中性/阳性"
die Boutique,精品服装店,Die Boutique hat neue Kollektion.,,"名词, 阴性; 复数: Boutiquen"
die Bäckerei,面包店,Ich hole Brot in der Bäckerei.,,"名词, 阴性; 复数: Bäckereien"
die Metzgerei,肉店,In der Metzgerei gibt es frisches Fleisch.,,"名词, 阴性; 复数: Metzgereien"
der Supermarkt,超市,Der Supermarkt schließt um 20 Uhr.,,"名词, 阳性; 复数: Supermärkte"
der Wochenmarkt,周市；集市,Am Samstag ist Wochenmarkt.,,"名词, 阳性; 复数: Wochenmärkte"
öffnen / schließen,开门 / 关门,Das Geschäft öffnet um 9 und schließt um 19 Uhr.,,动词
die Öffnungszeit,营业时间,Die Öffnungszeiten stehen an der Tür.,,"名词, 阴性; 复数: Öffnungszeiten"
das Brot,面包,Ich kaufe ein frisches Brot.,,"名词, 中性; 复数: Brote"
die Brötchen (Pl.),小面包,"Sechs Brötchen, bitte.",,"名词, 复数词"
der Käse,奶酪,Ich esse Brot mit Käse.,,"名词, 阳性"
die Wurst,香肠；腊肉,Die Wurst ist frisch.,,"名词, 阴性; 复数: Würste"
das Fleisch,肉,Ich kaufe heute kein Fleisch.,,"名词, 中性"
das Gemüse,蔬菜,Gemüse ist gesund.,,"名词, 中性（不可数）"
das Obst,水果,Obst ist heute im Angebot.,,"名词, 中性（不可数）"
der Apfel,苹果,"Ein Kilo Äpfel, bitte.",,"名词, 阳性; 复数: Äpfel"
die Banane,香蕉,Bananen sind billig.,,"名词, 阴性; 复数: Bananen"
die Tomate,番茄,Ich brauche Tomaten für den Salat.,,"名词, 阴性; 复数: Tomaten"
die Zwiebel,洋葱,"Eine Zwiebel, bitte.",,"名词, 阴性; 复数: Zwiebeln"
die Gurke,黄瓜,Die Gurke ist frisch.,,"名词, 阴性; 复数: Gurken"
die Milch,牛奶,Ich trinke morgens Milch.,,"名词, 阴性"
der Saft,果汁,Orangensaft ist mein Lieblingsgetränk.,,"名词, 阳性; 复数: Säfte"
das Wasser,水,Ich nehme eine Flasche Wasser.,,"名词, 中性"
die Limonade,汽水；柠檬水,Kinder trinken gern Limonade.,,"名词, 阴性; 复数: Limonaden"
ein Kilo (kg),一公斤,Ich brauche ein Kilo Reis.,,量词
ein Liter (l),一升,"Ein Liter Milch, bitte.",,量词
100 Gramm (g),100 克,"100 Gramm Käse, bitte.",,量词
die Flasche,瓶,"Eine Flasche Saft kostet 1,50 Euro.",,"名词, 阴性; 复数: Flaschen"
die Dose,听；罐头,Ich kaufe eine Dose Cola.,,"名词, 阴性; 复数: Dosen"
die Packung,包；盒,"Eine Packung Nudeln, bitte.",,"名词, 阴性; 复数: Packungen"
das Stück,块；片；件,"Ein Stück Kuchen, bitte.",,"名词, 中性; 复数: Stücke"
die Schweiz,瑞士,Die Schweiz ist nicht in der EU.,,Ländername
der Schweizer Franken (CHF),瑞士法郎,In der Schweiz bezahlt man mit Franken.,,Währung
Zürich,苏黎世,Zürich ist eine große Stadt in der Schweiz.,,Stadt
Genf,日内瓦,Genf liegt am Genfersee.,,Stadt
dieser/diese/dieses,这个/这位/这件,Ich nehme dieses Kleid.,,指示代词
welcher/welche/welches,哪个,Welche Größe brauchen Sie?,,疑问代词
möchten,想要（虚拟式）,Ich möchte die Jacke anprobieren.,,情态类动词
gern / lieber / am liebsten,喜欢；更喜欢；最喜欢,Ich trinke lieber Tee.,,程度副词
zu + Dat.,到；向；给（与格）,Ich gehe zur Kasse.,,介词 +Dativ
für + Akk.,为了；给（宾格）,Das ist ein Geschenk für dich.,,介词 +Akk.
ohne + Akk.,没有；无（宾格）,Ohne Quittung kein Umtausch.,,介词 +Akk.
mit + Dat.,和；带有（与格）,Mit Rabatt kostet es 20 Euro.,,介词 +Dativ
